"","V1"
"1",24.6556715888885
"2",17.2391213969373
"3",8.41895120965509
"4",7.04314497372723
"5",28.855678462823
"6",15.0800713124718
"7",30.5773587519972
"8",13.1535345907498
"9",9.99483917106288
"10",15.3374858176943
"11",8.39906700747484
"12",12.3904119946511
"13",8.61953555443017
"14",6.3195824254756
"15",6.67374194268692
"16",7.14780388201767
"17",6.82900508674867
"18",5.5971687808459
"19",7.2702919813321
"20",5.63204473978615
"21",6.78623696115353
"22",6.90137443948114
"23",10.6591711638566
"24",15.9400038520946
"25",10.7366921562765
"26",29.1660194810644
"27",27.5004674922487
"28",31.8429624152069
"29",10.1691645873171
"30",32.811222614369
"31",20.8925770113224
"32",17.6623787033258
"33",6.21757683285816
"34",9.84447862958336
"35",6.83537643859302
"36",62.6581432939397
"37",30.1388242325899
"38",43.4202876119875
"39",72.6958337906214
"40",52.4298608070617
"41",31.4031549280236
"42",70.304379697894
"43",45.7338783490762
"44",57.397916053405
"45",42.1905932838633
"46",22.7124123343658
"47",20.8680691275928
"48",7.16435750469121
"49",7.84719390995859
"50",41.929507141955
"51",49.3269270134294
"52",43.9838635318143
"53",38.3796160902115
"54",25.2393988640915
"55",24.0469267365626
"56",35.3617830261226
"57",20.4991369467762
"58",17.989290201897
"59",53.63373634565
"60",25.958585437176
"61",40.7760893766457
"62",37.578098126601
"63",25.867814997626
"64",48.8618759486333
"65",25.0189301236599
"66",32.0382613984805
"67",38.602892343858
"68",24.2083559450454
"69",15.396924998204
"70",26.1581846137422
"71",20.3992631866852
"72",18.1723160175256
"73",42.6947245836037
"74",22.8252510843241
"75",23.6655782427833
"76",39.8865683803401
"77",56.1057574972294
"78",37.5850943452928
"79",52.0929222008629
"80",40.9893841035082
"81",44.2752052315284
"82",46.8852958457734
"83",42.3817620531328
"84",39.9253359672769
"85",38.0454530443964
"86",32.1908282188657
"87",4.14440808345021
"88",6.67144795132157
"89",5.28664504498472
"90",11.2094834274778
"91",6.11216522988036
"92",4.39256474119956
"93",5.81539950754203
"94",3.53348083706547
"95",8.54116857514467
"96",12.9297308089824
"97",4.35713448499027
"98",21.3983654520815
"99",25.1527914831895
"100",20.5227039779634
"101",4.62795241673135
"102",18.3718228606527
"103",8.3045302182549
"104",8.52009464995962
"105",6.07316802424318
"106",55.4947103641001
"107",14.4468162790084
"108",7.28103253872095
"109",10.096164339807
"110",18.1725827594983
"111",18.8139827431879
"112",6.92374710033557
"113",26.2109086736283
"114",48.4994600707189
"115",52.9568340040065
"116",43.5242766559391
"117",59.910576376448
"118",47.3661707667742
"119",45.3835595875399
"120",45.5744738777888
"121",46.7724191518927
"122",47.716103712706
"123",5.6931149592023
"124",5.17899125970028
"125",12.7953519861286
"126",10.3154245521696
"127",3.40930986994454
"128",39.3856053791733
"129",38.8160667027867
"130",19.1390264439114
"131",26.8162900252266
"132",42.2254052412753
"133",23.5212345129501
"134",13.3104515111408
"135",27.1495961303682
"136",21.4239192770498
"137",40.0657585899693
"138",15.7692851194969
"139",20.0942794170455
"140",24.0658341587791
"141",27.7270609807497
"142",46.0486230306926
"143",27.9472628796192
"144",21.7743168382744
"145",19.9939486671088
"146",21.9996415643378
"147",37.88152928246
"148",100.585686960769
"149",127.040145577166
"150",145.488920384426
"151",146.43672898586
"152",87.4453416575807
"153",52.6721327773493
"154",38.1137201698104
"155",76.9301318016652
"156",126.034895322405
"157",131.960718688557
"158",94.4076488048258
"159",23.966038010737
"160",82.7142293077102
"161",41.498057818679
"162",11.9930832485563
"163",4.0893439348734
"164",22.2869060222355
"165",25.4067318347522
"166",25.2804548845307
"167",22.0392183425066
"168",23.9963482652177
"169",27.0880984085888
"170",25.078340759041
"171",7.32833285067502
"172",6.54543935535601
"173",10.6374996664969
"174",2.80783802339641
"175",10.3739067344141
"176",10.2780088694119
"177",11.4133879775921
"178",14.9387131018641
"179",5.68848911298158
"180",7.93994615031565
"181",4.99792986790098
"182",16.1287329811644
"183",53.5502736825812
"184",7.48273557436897
"185",4.52748877404058
"186",8.00630656648839
"187",3.89479671489914
"188",10.7057361731986
"189",5.71417346663419
"190",9.86755204296467
"191",6.46043035812405
"192",4.26836185947637
"193",6.74369703495655
"194",7.08441630055446
