"","V1"
"1",7.62319757968968
"2",26.1433584219798
"3",4.48331002016971
"4",5.51682912120899
"5",4.11102607303438
"6",14.54218753354
"7",11.4854392365837
"8",15.2509811659776
"9",14.0427827384338
"10",28.0311456927947
"11",25.1517321700065
"12",12.4793979465214
"13",11.334999449788
"14",4.46165798932841
"15",8.29498826544452
"16",8.52806516042806
"17",7.0994582071005
"18",4.4354801671486
"19",10.7020824330779
"20",4.56650266357599
"21",5.78061057004021
"22",8.64536183193608
"23",19.974641936698
"24",9.96444101589483
"25",9.33209506469505
"26",29.7626375489958
"27",34.874726635441
"28",49.7892392767809
"29",53.2307301990174
"30",42.6182610810002
"31",69.8354865286499
"32",46.861598000182
"33",50.4108887212761
"34",47.5673306754532
"35",44.3885188528756
"36",42.3908208883057
"37",20.2671354658314
"38",18.2699167280935
"39",30.2509975054173
"40",26.7335485541881
"41",81.5709857538167
"42",29.0789731198603
"43",51.617339075286
"44",32.6379330541964
"45",30.1678455407243
"46",49.5283822633644
"47",27.580927367254
"48",22.8793089854242
"49",31.4533023683689
"50",41.4865217147507
"51",25.7935687995262
"52",26.5138670159407
"53",24.4207933274978
"54",14.9552842761205
"55",50.8221070084321
"56",22.5105794998988
"57",29.9209697679377
"58",19.3317231198985
"59",7.9560215203525
"60",33.2827982356187
"61",36.6161380946788
"62",3.70634980632429
"63",21.9223435001245
"64",67.8366145984698
"65",26.9172399844754
"66",75.4788337199973
"67",38.8167710586108
"68",72.7972452964048
"69",56.7164857763853
"70",38.5753264400453
"71",95.996966929346
"72",37.2572858135071
"73",25.9994872013057
"74",26.6033329330637
"75",19.9019688940332
"76",28.7241294458123
"77",31.1773597533287
"78",29.2850185219376
"79",23.4494931204844
"80",10.4663526240426
"81",4.31090862847424
"82",13.1209173184824
"83",14.5724199544435
"84",5.91125944962591
"85",5.66753661874684
"86",23.1677676361086
"87",28.218352449506
"88",30.4937492504511
"89",16.5038770735203
"90",22.5525022836826
"91",5.41777373628184
"92",28.6622859771469
"93",11.5341253810095
"94",4.97301865310636
"95",10.6375134128272
"96",4.75391363942531
"97",8.36852945098445
"98",8.60091975444452
"99",12.8558314622899
"100",25.2667132156796
"101",8.92523617512023
"102",4.40737675433514
"103",6.458490286272
"104",18.3203106666367
"105",5.64274945732583
"106",8.71062132449067
"107",24.2152466912174
"108",29.588735563021
"109",33.4230852889959
"110",35.5464278667152
"111",29.9660793873071
"112",26.173003198384
"113",9.08912865954757
"114",4.33062972528313
"115",4.46444779853695
"116",10.6434673468699
"117",18.5949021842395
"118",25.2538416023592
"119",3.45544757919018
"120",5.64676806116294
"121",4.2104006471002
"122",4.37716784088421
"123",5.08325441021416
"124",12.2910103380401
"125",12.9800124796778
"126",7.3926964970761
"127",16.2447737872882
"128",8.14959134029353
"129",7.27640538434524
"130",5.86277407986332
"131",17.950541881877
"132",19.2312273924485
"133",17.9608633948176
"134",10.4236297427218
"135",8.98012406571927
"136",5.06778933289745
"137",4.57703864654
"138",4.83534516797053
"139",11.6199833887941
"140",5.55177015495339
"141",9.14215273430376
"142",17.1509725406375
"143",9.03669324338064
"144",8.15933001224657
"145",13.8929212911536
"146",13.910066452122
"147",3.55881526069585
"148",14.9948568276001
"149",18.130046254126
"150",12.0644777442438
"151",15.7052906660982
"152",12.3808143435517
"153",1.76498417574592
"154",6.27484427160631
"155",6.18619045378007
"156",12.2221287170539
"157",3.13249664547622
"158",6.37798469029528
"159",7.07467305275095
"160",6.25792318151353
"161",4.29635959199159
"162",7.27705193148681
"163",23.2382914508765
"164",13.9502273984852
"165",48.2757755554031
"166",16.5176514194742
"167",13.1610811384838
"168",5.09383910610259
"169",8.6517273575445
"170",6.66063507752083
"171",4.99467127479379
"172",14.8208840363387
"173",30.6627584700076
"174",9.32734459918786
"175",9.94576042299565
"176",6.907954903479
"177",2.10700725563062
"178",10.2011421301376
"179",3.75246491631558
"180",4.89615518709172
"181",5.20966686746266
"182",6.95666915644283
"183",4.38405265620948
"184",5.23097277333694
"185",6.82309198675772
"186",12.831317015161
"187",6.9692135248031
"188",6.33241393672642
"189",20.1168567206804
"190",15.9983465956906
"191",22.4633470607262
"192",11.7681281863415
"193",6.0887364786089
"194",6.07172392162518
"195",8.11394856060165
"196",7.62600136233206
"197",7.45010450567921
"198",13.8488647381321
"199",8.45585718845436
"200",6.78943066468589
"201",8.35219607595696
"202",10.1204155221411
"203",13.8036139149129
"204",21.696041575608
"205",7.42843553012591
"206",31.1404238051174
"207",42.5287127429541
"208",8.71505880336279
"209",10.1794053342626
"210",4.34935296453108
"211",5.94229700801571
"212",8.42417501892859
"213",9.23402243086546
"214",7.73442625250967
"215",7.52655704236033
"216",3.15075732639868
"217",15.1575634175636
"218",3.72961331299285
"219",2.36095200479698
"220",6.68601324656143
"221",17.5329713704244
"222",4.29109179356043
"223",4.33884950953375
"224",13.7984477856107
"225",19.9743402866825
"226",13.8033087327179
"227",17.8347228414648
"228",17.1033945911551
"229",4.9353796174799
"230",4.6647733651905
"231",8.48196380794543
"232",9.44272228496255
"233",7.73479758715869
"234",7.34731833349712
"235",5.11136289681614
"236",4.4031344672091
"237",12.356754138527
"238",8.72595183444805
"239",5.31756285253438
"240",13.6239833347354
"241",8.01173528789596
"242",6.35570866897484
"243",8.09975882288927
"244",5.95226449000693
"245",5.57087748469254
"246",6.50744249485655
"247",5.96868531612617
"248",3.05681533579217
"249",5.51757354636663
"250",20.6715696580756
"251",13.3205264276788
"252",20.9596582916772
"253",21.8483616022831
"254",23.2475148844473
"255",13.4129208771903
"256",8.71193011698805
"257",17.0936754663035
"258",9.73322784023889
"259",12.4229150286325
"260",3.26459502503002
"261",3.25456829174396
"262",4.70354807291372
"263",7.26132088303537
"264",5.50370935900136
