"","c.3.02062768611933..17.2945286624931..4.95505078739241..7.12079193068082.."
"1",3.02062768611933
"2",17.2945286624931
"3",4.95505078739241
"4",7.12079193068082
"5",24.8899188686776
"6",12.7684466854772
"7",23.8708743368467
"8",15.6597497023488
"9",12.4542494238962
"10",13.2338864394609
"11",16.624148748273
"12",6.7434598523466
"13",8.68446884142652
"14",10.3583092559506
"15",9.50488239136325
"16",7.73696077703578
"17",3.81966854562024
"18",5.47388701981718
"19",7.8015562029996
"20",9.04660785125587
"21",16.7778289458399
"22",7.68504840511693
"23",5.53543951509098
"24",50.6282144662685
"25",27.4655845131789
"26",36.633632490989
"27",73.1520022763408
"28",48.9801723058002
"29",33.1048881009447
"30",71.9785378502746
"31",45.2634309023617
"32",53.5831366979968
"33",39.9783567786834
"34",4.65201916828154
"35",5.2832637456797
"36",36.8948375747744
"37",34.9588377503484
"38",30.3321248146857
"39",27.8928149282346
"40",19.6550684086453
"41",40.7844024942564
"42",27.0090011741278
"43",72.9332100718217
"44",58.0656257313584
"45",60.8430969234901
"46",79.1163784700164
"47",35.8419797193216
"48",65.6823862062833
"49",44.6878096624735
"50",22.7875037921893
"51",51.2404666574512
"52",51.2837003625142
"53",35.1496184124942
"54",42.276238276206
"55",33.3432425713027
"56",38.1864839799968
"57",60.5904634808955
"58",31.924924647106
"59",26.274325086074
"60",18.8977858726409
"61",59.8482413574801
"62",50.7476737748926
"63",6.00407702622149
"64",42.503918228338
"65",70.1152434669108
"66",58.5276398809728
"67",55.7799317181929
"68",47.8771559564986
"69",67.1264063628992
"70",59.5369347598362
"71",51.616757118817
"72",43.1307863637105
"73",40.4737632274009
"74",21.1549303434859
"75",26.8530606234498
"76",15.2556248664456
"77",5.86412207804578
"78",10.8177665982655
"79",11.4538493855838
"80",17.9233186589141
"81",6.20824594939482
"82",6.43042743847143
"83",22.9486556955281
"84",23.307224015183
"85",23.8151216701365
"86",4.10950742253328
"87",10.1236121762682
"88",9.9255324348476
"89",6.20556040661227
"90",5.5007748305452
"91",2.86007010763648
"92",5.35236736594375
"93",14.0611652226241
"94",5.75179991402241
"95",2.35169189182778
"96",2.70533241875979
"97",3.86688315944315
"98",49.7722624829524
"99",11.1332286035308
"100",4.53258750931441
"101",6.22920439616709
"102",26.2864585344388
"103",5.35111080826974
"104",21.4161228878679
"105",17.6039065408339
"106",22.4750125311222
"107",25.4627865674252
"108",24.0324301775486
"109",2.94230094218209
"110",6.791645050585
"111",4.1951904816711
"112",8.56231545848095
"113",7.96644265182762
"114",12.8004115727531
"115",15.7669150188803
"116",15.6964983851262
"117",5.14976796553308
"118",3.38874007413658
"119",4.46363288215939
"120",3.92886378114197
"121",10.126939374532
"122",8.55006800319667
"123",5.24126271953324
"124",2.01770619244301
"125",17.7384755424647
"126",6.87881482332824
"127",7.48121724604442
"128",4.03566009938634
"129",5.88398962460556
"130",19.3217171567421
"131",17.8685021882355
"132",24.820219485019
"133",12.6680089129793
"134",10.3214419080773
"135",6.0801798931924
"136",7.59109002710495
"137",8.1975012747814
"138",10.4271127614186
"139",10.7592735464269
"140",9.43630047785444
"141",9.96961913269128
"142",6.04222122238621
"143",11.5025923908255
"144",3.84123345051937
"145",5.83105889452038
"146",7.17352316018757
"147",3.69694576747571
"148",17.8272512551133
"149",17.4920567770746
"150",12.4717784492313
"151",16.2806906974508
"152",21.3145990849088
"153",4.79399967426753
"154",10.7019958695975
"155",10.9233364104286
"156",5.54548744606473
"157",12.3036994474768
"158",5.33755283305431
"159",6.001934699775
"160",6.40530584539017
"161",6.81337714295138
"162",2.80570281108748
"163",5.77017491902966
"164",5.01169825082699
"165",38.6938915221796
"166",11.3840735610123
"167",35.0150873571072
"168",14.7422030553381
"169",8.50052235062379
"170",4.05262780192082
"171",5.18769571676192
"172",6.61843415271005
"173",26.0154353180072
"174",15.2515481640826
"175",7.18636150194199
"176",10.651532382712
"177",6.94091048679139
"178",7.49153840297771
"179",2.94631380956263
"180",9.2372116314182
"181",15.6187497126931
"182",3.837125617562
"183",4.4981966810392
"184",3.23731059590217
