"","c.17.623875385343..5.51714999118852..5.43947780581063..27.5876539762813..","c.17.6467953093328..5.4562852444034..5.22891598028105..27.5876539762813..","c.17.623875385343..5.51714999118852..5.43947780581063..27.5876539762813...1","c.17.623875385343..5.95690634420702..5.28666262569818..27.5876539762813.."
"1",17.623875385343,17.6467953093328,17.623875385343,17.623875385343
"2",5.51714999118852,5.4562852444034,5.51714999118852,5.95690634420702
"3",5.43947780581063,5.22891598028105,5.43947780581063,5.28666262569818
"4",27.5876539762813,27.5876539762813,27.5876539762813,27.5876539762813
"5",13.433176615965,13.433176615965,13.433176615965,13.433176615965
"6",24.2993217444008,25.5982191056926,26.0045060872398,37.2415516482444
"7",20.916530098735,19.8553058021003,21.1998805083995,20.949058644196
"8",13.9353493911049,15.4426487908126,15.4426487908126,15.4426487908126
"9",5.71126930967175,5.54977382831999,8.18781454861809,7.60509789559626
"10",7.57397348006094,6.64099604182714,6.79960995176341,6.89047465566716
"11",9.21020322166168,8.17848158467548,9.21020322166168,8.44197355358353
"12",7.55731273839191,6.83326442402589,7.17442072694299,11.4086685562226
"13",3.84381955980626,3.84381955980626,3.84381955980626,9.67579535066325
"14",28.9057096658383,16.5265238154782,5.39459107781774,5.16458457799553
"15",33.0391096417396,23.0869736009533,8.22041624362398,8.22041624362398
"16",32.7158138329924,18.070606163695,10.9911322881361,9.32412881866752
"17",16.8975545138122,15.9203643577275,15.7608863361732,18.0236405762913
"18",8.6051417116848,8.6051417116848,8.91839168694225,8.6051417116848
"19",4.30302074986205,4.25991463487404,4.51373177727153,4.51373177727153
"20",57.5952541723588,57.8497813443033,56.7695873095891,59.4231741831071
"21",28.9534477775266,28.9534477775266,28.9534477775266,28.9534477775266
"22",38.3509889331543,38.3509889331543,38.3509889331543,38.3509889331543
"23",72.2558309199722,72.2558309199722,72.2558309199722,72.2558309199722
"24",49.8417610315417,49.8417610315417,49.8806148510103,49.8417610315417
"25",26.657244680301,26.2201897236635,37.2442452381975,35.6131126934927
"26",71.2806117280171,70.5291359598407,71.2806117280171,71.2806117280171
"27",47.2029496900133,47.2029496900133,47.2029496900133,45.7490242173336
"28",62.3212209359772,59.2508660713507,52.3496705790654,56.3279697202435
"29",43.0477915046756,43.0477915046756,43.0477915046756,43.0477915046756
"30",5.13822997684096,5.12064383104935,4.91651749788059,5.05381730412387
"31",32.8388136721076,32.8388136721076,32.8388136721076,32.8388136721076
"32",30.9516526693134,30.9516526693134,30.9516526693134,31.1885056361525
"33",30.6761829707797,30.6761829707797,30.6761829707797,30.6761829707797
"34",19.7548740555805,19.6151810015919,17.1584487914417,15.2788278130178
"35",22.9369935169347,23.080231376505,19.1946345867176,14.7187952966532
