"","c.25.3731446218922..16.8706024096921..6.72816615756896..3.47001735104705..","c.22.1766412458367..16.8706024096921..6.72816615756896..7.93174591971114..","c.23.8196298227754..16.8706024096921..6.72816615756896..7.31859103169588..","c.22.1766412458367..16.8706024096921..6.72816615756896..6.53949488619319.."
"1",25.3731446218922,22.1766412458367,23.8196298227754,22.1766412458367
"2",16.8706024096921,16.8706024096921,16.8706024096921,16.8706024096921
"3",6.72816615756896,6.72816615756896,6.72816615756896,6.72816615756896
"4",3.47001735104705,7.93174591971114,7.31859103169588,6.53949488619319
"5",30.0709770560186,30.0709770560186,30.0709770560186,30.0709770560186
"6",15.0337207145979,15.0432962142904,15.0337207145979,15.0337207145979
"7",29.1774981597042,29.1774981597042,29.1774981597042,29.1774981597042
"8",12.7073763389196,12.7073763389196,12.7073763389196,12.7073763389196
"9",10.8284992267926,10.6191491351466,11.9120764571023,9.00901316439301
"10",5.4804010161173,5.31837910023001,12.2425244989745,15.7948869357401
"11",6.07849927005302,6.07849927005302,6.07849927005302,5.99382239318824
"12",11.7186072458223,11.7186072458223,11.7186072458223,11.7186072458223
"13",3.77498218235196,4.48751446877869,4.93811545911204,6.5759519211358
"14",5.57800822879745,4.22465590542582,4.42451555865979,4.80026695544443
"15",6.16646724516121,6.19197141892037,6.16646724516121,6.16646724516121
"16",8.15723083187113,9.16484427391197,8.50694929952592,6.21959074672906
"17",8.55937087660402,8.55937087660402,6.60825758466611,5.53228885163693
"18",6.19829796268075,5.97861250630176,5.93591706992816,5.60687671519274
"19",4.37612571587155,4.37612571587155,4.37612571587155,7.82473043668305
"20",3.62477679888936,5.91089843720407,5.76044190674531,5.46128483692321
"21",4.85423422904723,4.92058295928543,4.78643648660149,9.02110616446651
"22",6.11687909471727,6.11687909471727,6.87081864487656,6.79002536571842
"23",4.66478523996782,4.66478523996782,4.66478523996782,10.5602774105176
"24",7.66224985267269,7.66224985267269,7.66224985267269,15.0191550918134
"25",9.75731224064121,10.6331819447585,9.81169877167347,13.1525547932626
"26",31.1879487676926,28.9454380193695,30.326653618404,31.1154379160766
"27",38.318811960185,40.4858921169591,37.9424064352674,33.7141472607922
