unique_id,stability,lumpiness,hurst,flat_spots,entropy,crossing_points
2037.0,0.05849358974358975,0.015224358974358976,,32,0.8195173064713389,5
2038.0,0.0,0.0,,55,-0.0,0
2039.0,0.04807692307692308,0.02136752136752136,,32,0.8128982078487923,5
2040.0,0.019230769230769235,0.008547008547008544,,32,0.8957674418210272,2
2041.0,0.019230769230769235,0.008547008547008544,,32,0.8957674418210272,2
2042.0,0.03525641025641026,0.01566951566951567,,38,0.8060666291187122,4
2043.0,0.0,0.0,,55,-0.0,0
2044.0,0.05849358974358975,0.017361111111111115,,20,0.7979138297523203,6
2045.0,0.05849358974358975,0.017361111111111115,,20,0.7979138297523203,6
2046.0,0.06810897435897435,0.02021011396011396,,20,0.7580569858773739,6
2047.0,0.03525641025641025,0.015669515669515667,,33,0.8062715441717718,4
2048.0,0.03525641025641025,0.015669515669515667,,33,0.8062715441717718,4
2049.0,0.027243589743589747,0.0186965811965812,,22,0.811564021665958,6
2050.0,0.027243589743589747,0.0186965811965812,,22,0.811564021665958,6
2051.0,0.027243589743589747,0.0186965811965812,,22,0.811564021665958,6
2052.0,0.027243589743589747,0.0186965811965812,,22,0.811564021665958,6
2053.0,0.0,0.0,,55,-0.0,0
2054.0,0.0,0.0,,55,-0.0,0
2055.0,0.0,0.0,,55,-0.0,0
2056.0,0.0,0.0,,55,-0.0,0
2057.0,0.0,0.0,,55,-0.0,0
2058.0,0.0,0.0,,55,-0.0,0
2059.0,0.0,0.0,,55,-0.0,0
2060.0,0.03525641025641025,0.015669515669515667,,26,0.7520157379094549,4
2061.0,0.019230769230769235,0.008547008547008543,,48,0.8957674418210272,2
2062.0,0.022435897435897426,0.012286324786324786,0.6513848213538722,27,0.9022628260370357,3
2063.0,0.14182692307692304,0.02377136752136752,,9,0.7972445173546492,0
2064.0,0.022435897435897426,0.012286324786324786,0.6513848213538722,27,0.9022628260370357,3
2065.0,0.14182692307692304,0.02377136752136752,,9,0.7972445173546492,0
2066.0,0.0,0.0,,55,-0.0,0
2067.0,0.0673076923076923,0.02297008547008546,,12,0.8894901999928433,0
2068.0,0.014423076923076927,0.014423076923076922,,30,0.8949683945777736,0
2069.0,0.07692307692307694,0.016025641025641028,,14,0.8702352237137745,0
2070.0,0.035256410256410256,0.015669515669515667,,29,0.805864504129749,4
2071.0,0.03766025641025641,0.02021011396011396,,32,0.8173273997685842,6
2072.0,0.03766025641025641,0.02021011396011396,,16,0.8100758928174024,6
2073.0,0.008814102564102562,0.008814102564102562,,50,0.8957674418210274,2
2074.0,0.019230769230769235,0.008547008547008543,,32,0.8060034196743076,4
2075.0,0.01201923076923077,0.01201923076923077,,24,0.8920741293006517,6
2076.0,0.026442307692307696,0.017361111111111112,,14,0.8550710738653162,8
2077.0,0.0985576923076923,0.02377136752136752,,9,0.8023512263128871,11
2078.0,0.0985576923076923,0.02377136752136752,,9,0.8023512263128871,11
2079.0,0.0985576923076923,0.02377136752136752,,9,0.8023512263128871,11
2080.0,0.0,0.0,,54,0.9890860107595971,1
2081.0,0.019230769230769235,0.008547008547008543,,32,0.8060034196743076,4
2082.0,0.09935897435897433,0.029914529914529916,,8,0.8009233449578429,17
2083.0,0.09935897435897433,0.029914529914529916,,8,0.8009233449578429,17
2084.0,0.03685897435897436,0.018340455840455832,,32,0.7940588317154099,4
2085.0,0.05849358974358975,0.015224358974358976,,32,0.8195173064713389,5
