unique_id,unitroot_pp,unitroot_kpss,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,nonlinearity,lumpiness,hurst,alpha,beta,flat_spots,entropy,crossing_points,arch_lm,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1
4572.0,-35.48939207190208,0.7941739247446171,29.089743589743588,1,4,0.6572161650439217,0.25761311119166835,27.911860287003556,-0.5649082833285028,-0.4199785064234091,0.5184170183932724,0.2466152446288098,2,1,0.18825363988045488,0.2685549100196358,0.8234933846820238,0.13438190411396023,0.4480233367602986,753.3742877492881,0.903335975339399,5.286500692156587e-06,6.889324079075825e-11,3,0.8054291240194047,18,0.3379871161082928,0.3732993439478956,0.38706255199932726,-0.4005355229705715,0.26426850308329064,-0.6200724716224448,0.5881225357115679,0.24379124061256852
4573.0,-19.134916671505174,0.772520168374676,102.37099358974359,1,4,0.7819371706504876,0.5150264906080725,47.88009301752094,-19.66470859218182,-0.3154049559398523,0.43057548632348147,0.15631698800314708,1,2,0.39547887153030087,0.21439915718074037,0.6191413493612533,0.04326526411185305,0.10293344151963459,6120.206463675214,0.9475672842061081,0.36964132909989084,0.0,3,0.6791896774340971,14,0.23897807857249664,0.6127204575111882,1.1814713264569139,-0.2823127272779618,0.17033056343964054,-0.559785963331832,0.4142197741716077,0.28104498918402915
4574.0,-52.165717645107414,0.04424628966172396,59.86858974358975,1,4,0.3126077638792193,92.80170390455837,2.7008772808702695,3.0968432700879553,-0.41415118406641216,0.3655888587875888,0.21854056025931679,4,3,0.0676681056273471,0.46332391286849933,0.9441417847957156,-0.08162508682389974,0.03572404519402264,378552.1150284901,0.41051226337605534,1.4901161193847656e-08,3.3621376206048364e-09,9,0.8981980210319643,25,0.07885320020056985,-0.10245203891194815,0.09733553974356242,-0.46844491948820766,0.2818788260409129,-0.6478200501005598,0.5352277342789961,-0.02061167192669577
4575.0,-50.47597052543837,0.07779809230167252,30.639423076923077,1,4,0.33226375599144076,25.384162190037078,-5.491095891719568,-2.627763769982745,-0.37706384729604225,0.42186371022503455,0.21861556980224717,4,3,0.06558963166951041,0.4452509817801107,0.9029438127104867,-0.036231971392707125,0.021681113193674488,104298.26210826212,0.45224681158865027,1.4901161193847656e-08,5.75186253317888e-09,14,0.8845118258094005,25,0.14287319806831733,-0.07771095806496689,0.17749766664738795,-0.44581953444658595,0.29388991470122083,-0.6367763771743967,0.5352559088720561,0.024543222477683903
4576.0,-59.4564431449791,0.04890840930362698,69.2724358974359,1,4,0.2779818468003248,417.996674506325,-10.149586709869693,0.21089770182973133,-0.6172431216638896,0.521466185654537,0.16596607988177992,2,2,0.0797034995320535,0.527352857923885,1.113337272824149,-0.1238054142077498,0.04525062610060163,1311954.599537037,0.5248462802271223,8.169235624022423e-05,7.870659448957954e-05,4,0.8446811541831968,25,0.1334594824231783,-0.17005800272954025,0.12099731801180501,-0.5923142372428324,0.48874943507519936,-0.7447019801269805,0.7977999421086396,-0.06563279448444635
4577.0,-58.48554120808027,0.34624114191246447,10.349358974358973,1,4,0.49205968333864825,0.034533182714761704,5.996520046931735,-12.232188537851425,-0.6437500496799509,0.7553646387033064,0.1970304779810369,4,1,0.25125291232392105,0.6221086857558139,1.1590052151099697,-0.009912035041187156,0.023679883542416864,145.97916666666666,0.8715452548132672,0.2078668469253535,0.0,3,0.7650216882943819,21,0.2149085053994757,0.10935973305311285,0.46118235485736886,-0.670157341783966,0.6598547059132294,-0.7659048928530306,0.8720397464498699,0.1607909908059236
4578.0,-51.984144484678254,0.7472770430342278,143.81891025641025,1,4,0.3202133067692151,450.3552047919281,72.28601718650367,-6.959465172017509,-0.46295501205233736,0.36524553617830946,0.30011301581305194,2,4,0.05599327760146313,0.44159911478044866,1.037256509994076,0.14303442568984193,0.04340848199695066,1691119.7400284903,0.5985884098744356,1.4901161193847656e-08,1.4888120921330425e-08,3,0.8508703011214119,25,0.14285132886115892,-0.06278964722887212,0.1181610476303543,-0.45566335417821524,0.2571283919219997,-0.6379056815768052,0.4694849838595639,0.16146167396901395
4579.0,-54.0216361868175,0.6133280505334717,133.98798076923077,1,4,0.37869695052008545,388.9968541161464,65.55424264045081,-17.133827939494502,-0.555817116909776,0.5404295439255538,0.2190558030517994,1,4,0.0039825839992717145,0.46162976760198715,1.082249368313031,0.026111391667783115,0.1228729364149368,1531897.05386396,0.6512961741916535,1.4901161193847656e-08,9.638941306383099e-09,4,0.8571000429095661,19,0.08230788720925253,-0.014874837846495691,0.0849950520535504,-0.5220421126628696,0.3941277323009402,-0.6859060390597564,0.6338846365757601,0.0249860095918199
4580.0,-46.08035741138485,0.26216884178022165,105.12660256410258,1,4,0.391377899381551,415.6483605616188,42.35060639633543,37.06490108131635,-0.45324386003152867,0.4005088647924348,0.29760019231569823,2,4,0.044370601543121696,0.3954658935633396,0.9835296886890116,0.021996160339191974,0.2320064195035011,1762804.7273860397,0.45682565014378856,1.4901161193847656e-08,3.904419738795507e-09,4,0.8505345529940549,25,0.13240325765355587,0.026502669821241904,0.10237047459350271,-0.39723162879761814,0.2827332031526459,-0.5855890865550608,0.4727167045941221,0.0636416479460587
4581.0,-49.317724103003016,0.2046849467956794,59.11057692307691,1,4,0.33945395267455514,155.0877461617964,23.433534270451837,34.34426340135627,-0.47262523659296557,0.34545671664158517,0.2123897822165337,2,4,0.03085518572321753,0.4002012039771454,0.9614852796144071,0.0285243866402713,0.2943497625746435,525764.7637108263,0.5582005299578627,1.4901161193847656e-08,9.736373905321185e-09,3,0.85597657215837,29,0.1293086527817775,-0.024796433930934066,0.06776486119082104,-0.43978447289452033,0.26558029265317085,-0.6356138076320135,0.5290171741018682,0.05701947043632541
4582.0,-52.339611046196,0.4765010375287635,114.6826923076923,1,4,0.3778407954485893,366.8793042164119,56.10008103643632,52.34531361565343,-0.5264887069456294,0.4814346932633828,0.33136082956100255,2,4,0.04416888921202361,0.39218011340436343,0.9629367114490377,0.18836153730808344,0.8048980552130783,1389870.0715811963,0.5737521541988432,0.004124630118798493,1.8821787611103632e-08,5,0.8490210963218229,29,0.16920979840191475,-0.029685568215001373,0.07840650990898033,-0.484329997368186,0.2694359942507703,-0.6774560412394135,0.5247220261490312,0.19342717560606826
