"","V1"
"1",28.8904499851964
"2",17.0227596558303
"3",5.82982241733357
"4",4.76028021625481
"5",5.46651481557356
"6",28.1118306463255
"7",14.5263021479902
"8",24.9466262772147
"9",13.1196951014551
"10",9.70521233943826
"11",2.16284385710353
"12",4.52520561375432
"13",6.23302090122272
"14",10.6536443551011
"15",12.0050861051622
"16",8.53378185572199
"17",5.80090026732525
"18",5.98357756791385
"19",6.9511695287606
"20",8.25489999584573
"21",5.23898554188947
"22",4.51997549686308
"23",4.7216537338584
"24",6.61559050338868
"25",6.82498936838031
"26",12.3235718482134
"27",11.2420075402817
"28",21.7175409715018
"29",26.2723032672182
"30",39.6874200690082
"31",27.3112168965128
"32",30.1704989153006
"33",26.5340457302323
"34",17.3985964635626
"35",8.80540476585629
"36",5.26319950313185
"37",49.1807528904413
"38",29.2887987358511
"39",37.7255593209892
"40",75.3804165453968
"41",50.0029153848796
"42",29.6831881027072
"43",61.774676074437
"44",50.3522867002805
"45",56.6075418125253
"46",46.4411630565636
"47",21.7802032659271
"48",14.5608431918331
"49",6.36766818968086
"50",7.41386094143626
"51",37.1609117341886
"52",33.221533896207
"53",41.1601524456424
"54",33.5726484066593
"55",28.1240118328738
"56",22.9271001025929
"57",32.3794814477287
"58",23.6862440149087
"59",21.3248864580227
"60",62.9026707041973
"61",32.9376941232725
"62",63.5731195639888
"63",55.2315261358031
"64",35.2227100053728
"65",71
"66",34
"67",57
"68",55
"69",29.3352343614818
"70",19.8811107256293
"71",29.100106390207
"72",28.1178056704268
"73",26.1161751297827
"74",72
"75",31.5623027955042
"76",37
"77",47.6189408102595
"78",71.5027770361251
"79",34.1803369281897
"80",71.5773246628892
"81",43.5750431045813
"82",44.8990690346866
"83",51.4438338140042
"84",60.331891569427
"85",42.5842526125743
"86",37.581550903895
"87",24.3140223477411
"88",4.30569158008278
"89",2.46145269038667
"90",11.8560002480912
"91",4.54586398856133
"92",10.777913376075
"93",5.44157857156284
"94",3.93276228720922
"95",5.52275356831238
"96",10.8243884961721
"97",16.860324020128
"98",5.7821161614299
"99",22.8787718653398
"100",23.8178635558755
"101",21.3458527428481
"102",5.46299026907336
"103",40
"104",2
"105",7.32924525444249
"106",8.29954974208224
"107",3.74005263281886
"108",47.0249876687344
"109",10.8872981393595
"110",10.480729142996
"111",18.0808104147942
"112",22.5233077978331
"113",5.35577097338854
"114",18.2217910016198
"115",27.9347952082805
"116",35.16077017515
"117",38.036601908435
"118",26.9141657822806
"119",46.1199817048017
"120",49.8953046691661
"121",45.623731668042
"122",46.9816258899232
"123",5.37994027074763
"124",3.84721629967158
"125",10.8168749039879
"126",7.02974931338538
"127",7.06752884116654
"128",10.1325041934367
"129",6.28919513325019
"130",38.0255349160377
"131",30.3659059244233
"132",16.092674022608
"133",26.2676865618019
"134",35.8635386060715
"135",23.2433620926266
"136",12.3749430348745
"137",26.5364512846518
"138",20.4748321223762
"139",39.2617674005088
"140",12.4577731197851
"141",15.7937919827096
"142",20.9584754498592
"143",26.3736727311849
"144",30.7420993892211
"145",22.1644229456156
"146",29.5299930031136
"147",21.6655516222191
"148",20.6363195105201
"149",39.3802990311006
"150",91.4094162959843
"151",72.206183592265
"152",143.42792424029
"153",161.903562998628
"154",105.233404553516
"155",41
"156",33.4057885455239
"157",68.7606810621919
"158",114.134252833966
"159",138.738141291688
"160",89.9007509875542
"161",36.2476458438856
"162",62.5081634507134
"163",31.2594808227294
"164",10.2386760327858
"165",31.588383593923
"166",24.7303193068837
"167",25.6431315395405
"168",22.8386103283663
"169",24.3496674223767
"170",39.7754094384221
"171",35.3151264539475
"172",7.45385994172738
"173",4.54593348152361
"174",13.8081903625662
"175",3.24511486437346
"176",18.4321045633838
"177",9.59905583460937
"178",14.2080814626124
"179",16.8625223371038
"180",3.84688367383335
"181",6.71133707205592
"182",4.52906850184463
"183",28.4024450987581
"184",15.577774623199
"185",5.28044299787025
"186",5.07252452617084
"187",8.20006318434513
"188",4.79327281793753
"189",16.6227900136976
"190",7.25008052008508
"191",11.5411692387238
"192",1
"193",7.29919665743208
"194",12.9631023747732
"195",4.54400269008157
"196",9.21292584180063
"197",6.50340233743784
"198",4.34733597140967
"199",18.5266853803978
"200",14.8729705773988
"201",8.50579016308689
"202",7.3814537305969
"203",7.36982409409073
"204",4.18027055756107
"205",5.27268756358048
"206",3.05467470801868
"207",1.88191468606394
"208",4.44176331911576
"209",18.0996885091914
"210",10.6039669311483
"211",24.4855802238917
"212",11.8026111997853
"213",9.70661071272842
"214",16.8357732969526
"215",21.5702199761755
"216",17.188620375665
"217",11.480856087532
"218",10.1248132181023
"219",12.5764333792244
"220",15.3587225557167
"221",12.5008421828289
"222",16.4730354591729
"223",3.95119155715358
"224",4.29114054779563
"225",9.11216767671801
"226",10.7811811703951
"227",11.5974879060362
"228",19.9048753895123
"229",13.9693175733631
"230",23.3655241060835
"231",39.4809559898525
"232",19.1040138710671
"233",17.4540098548812
"234",13.9393277714359
"235",5.02788959367186
"236",5.47382230985601
"237",2.90820869674855
"238",21.9012171919234
"239",21.4328871446919
"240",7.59187274544997
"241",26.1208830176565
"242",12.6107470579486
"243",22.4652157393366
"244",29.782035090304
"245",29.1583007027179
"246",18.4269952610914
"247",13.6916920045896
"248",14.2893197894471
"249",16.8938866537792
"250",16.4067757141745
"251",13.0340770169363
"252",19.4009061816341
"253",20.8097754480781
"254",10.2888557767941
"255",14.071792213564
"256",18.3437925019191
"257",17.2571208589513
"258",29.9512736376567
